,precision,recall,f1-score,support
living,0.803921568627451,0.82,0.8118811881188118,50.0
deceased,0.625,0.6,0.6122448979591836,25.0
accuracy,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667
macro avg,0.7144607843137255,0.71,0.7120630430389977,75.0
weighted avg,0.744281045751634,0.7466666666666667,0.7453357580656024,75.0
