,precision,recall,f1-score,support
living,0.7,0.8333333333333334,0.7608695652173915,42.0
deceased,0.3,0.16666666666666666,0.21428571428571427,18.0
accuracy,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333
macro avg,0.5,0.5,0.4875776397515529,60.0
weighted avg,0.58,0.6333333333333333,0.5968944099378883,60.0
