,precision,recall,f1-score,support
living,0.7090909090909091,0.9285714285714286,0.8041237113402062,42.0
deceased,0.4,0.1111111111111111,0.1739130434782609,18.0
accuracy,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333
macro avg,0.5545454545454546,0.5198412698412699,0.48901837740923354,60.0
weighted avg,0.6163636363636364,0.6833333333333333,0.6150605109816226,60.0
