,precision,recall,f1-score,support
living,0.9117647058823529,0.775,0.8378378378378379,40.0
deceased,0.6538461538461539,0.85,0.7391304347826088,20.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.7828054298642534,0.8125,0.7884841363102233,60.0
weighted avg,0.82579185520362,0.8,0.8049353701527615,60.0
