,0
0,0.72
1,0.7733333333333333
2,0.7066666666666667
3,0.8
4,0.68
5,0.8
6,0.7733333333333333
7,0.76
8,0.7866666666666666
9,0.8133333333333334
10,0.8533333333333334
11,0.8266666666666667
12,0.84
13,0.76
14,0.8133333333333334
15,0.7866666666666666
16,0.8
17,0.8266666666666667
18,0.7733333333333333
19,0.8133333333333334
20,0.7733333333333333
21,0.8
22,0.8
23,0.8133333333333334
24,0.8
25,0.7733333333333333
26,0.7866666666666666
27,0.76
28,0.8266666666666667
29,0.8133333333333334
30,0.8133333333333334
31,0.8133333333333334
32,0.8
33,0.84
34,0.8266666666666667
35,0.84
36,0.76
37,0.8
38,0.8133333333333334
39,0.8266666666666667
40,0.8
41,0.8266666666666667
42,0.84
43,0.8133333333333334
44,0.8266666666666667
45,0.8
46,0.76
47,0.8
48,0.8266666666666667
49,0.8266666666666667
50,0.8266666666666667
51,0.8266666666666667
52,0.8266666666666667
53,0.8266666666666667
54,0.84
55,0.8133333333333334
56,0.84
57,0.8533333333333334
58,0.8133333333333334
59,0.8
60,0.8133333333333334
61,0.84
62,0.8
63,0.8266666666666667
64,0.8133333333333334
65,0.84
66,0.8266666666666667
67,0.8133333333333334
68,0.8266666666666667
69,0.8266666666666667
70,0.8
71,0.8133333333333334
72,0.84
73,0.8133333333333334
74,0.8266666666666667
75,0.8266666666666667
76,0.8266666666666667
77,0.8133333333333334
78,0.8133333333333334
79,0.84
80,0.8266666666666667
81,0.8133333333333334
82,0.8266666666666667
83,0.8133333333333334
84,0.8133333333333334
85,0.8
86,0.8
87,0.8133333333333334
88,0.8266666666666667
89,0.8533333333333334
90,0.8133333333333334
91,0.8
92,0.8266666666666667
93,0.8266666666666667
94,0.8133333333333334
95,0.8266666666666667
96,0.8133333333333334
97,0.8266666666666667
98,0.8
99,0.84
100,0.8
101,0.8
102,0.8266666666666667
103,0.8133333333333334
104,0.8266666666666667
105,0.8266666666666667
106,0.8133333333333334
107,0.84
108,0.8266666666666667
109,0.8533333333333334
110,0.8266666666666667
111,0.7866666666666666
112,0.8133333333333334
113,0.8133333333333334
114,0.8266666666666667
115,0.8266666666666667
116,0.84
117,0.84
118,0.8266666666666667
119,0.84
120,0.8
121,0.8
122,0.8266666666666667
123,0.8266666666666667
124,0.8266666666666667
125,0.84
126,0.8133333333333334
127,0.8266666666666667
128,0.8133333333333334
129,0.8533333333333334
130,0.8266666666666667
131,0.8266666666666667
132,0.8
133,0.8
134,0.7866666666666666
135,0.8133333333333334
136,0.8133333333333334
137,0.8
138,0.8133333333333334
139,0.8533333333333334
140,0.8133333333333334
141,0.8133333333333334
142,0.8266666666666667
143,0.84
144,0.8133333333333334
145,0.8266666666666667
146,0.84
147,0.8266666666666667
148,0.8266666666666667
149,0.84
150,0.84
151,0.8266666666666667
152,0.8266666666666667
153,0.8266666666666667
154,0.8266666666666667
155,0.8266666666666667
156,0.8133333333333334
157,0.8133333333333334
158,0.8133333333333334
159,0.8266666666666667
160,0.8266666666666667
161,0.8133333333333334
162,0.8266666666666667
163,0.8266666666666667
164,0.84
165,0.8133333333333334
166,0.84
167,0.84
168,0.8266666666666667
169,0.8266666666666667
170,0.8266666666666667
171,0.8533333333333334
172,0.8533333333333334
173,0.8133333333333334
174,0.8133333333333334
175,0.8266666666666667
176,0.8
177,0.84
178,0.8266666666666667
179,0.8266666666666667
180,0.8133333333333334
181,0.8133333333333334
182,0.8133333333333334
183,0.8266666666666667
184,0.8
185,0.8266666666666667
186,0.8266666666666667
187,0.8266666666666667
188,0.8266666666666667
189,0.84
190,0.8266666666666667
191,0.8133333333333334
192,0.8266666666666667
193,0.8133333333333334
194,0.8266666666666667
195,0.8133333333333334
196,0.8266666666666667
197,0.8266666666666667
198,0.8266666666666667
199,0.84
200,0.84
201,0.84
202,0.8133333333333334
203,0.84
204,0.8266666666666667
205,0.8266666666666667
206,0.8266666666666667
207,0.84
208,0.8266666666666667
209,0.8266666666666667
210,0.8266666666666667
211,0.84
212,0.8266666666666667
213,0.8266666666666667
214,0.8266666666666667
215,0.84
216,0.8133333333333334
217,0.8
218,0.8266666666666667
219,0.8133333333333334
220,0.8266666666666667
221,0.8266666666666667
222,0.8266666666666667
223,0.8266666666666667
224,0.8266666666666667
225,0.8133333333333334
226,0.8266666666666667
227,0.84
228,0.84
229,0.84
230,0.8266666666666667
231,0.8133333333333334
232,0.8133333333333334
233,0.84
234,0.8133333333333334
235,0.84
236,0.8266666666666667
237,0.8266666666666667
238,0.8266666666666667
239,0.8266666666666667
240,0.8533333333333334
241,0.8133333333333334
242,0.8266666666666667
243,0.84
244,0.8266666666666667
245,0.8133333333333334
246,0.8266666666666667
247,0.8
248,0.8266666666666667
249,0.8266666666666667
250,0.8266666666666667
251,0.8266666666666667
252,0.84
253,0.84
254,0.8266666666666667
255,0.84
256,0.84
257,0.8266666666666667
258,0.8266666666666667
259,0.8133333333333334
260,0.8133333333333334
261,0.8266666666666667
262,0.8266666666666667
263,0.8266666666666667
264,0.8266666666666667
265,0.8266666666666667
266,0.8133333333333334
267,0.84
268,0.8133333333333334
269,0.8133333333333334
270,0.8266666666666667
271,0.84
272,0.84
273,0.84
