Index,precision,recall,f1-score,support
living,0.76,0.93,0.84,44.0
deceased,0.86,0.58,0.69,31.0
accuracy,0.79,0.79,0.79,0.79
macro avg,0.81,0.76,0.76,75.0
weighted avg,0.8,0.79,0.78,75.0
