,precision,recall,f1-score,support
living,0.8775510204081632,0.86,0.8686868686868686,50.0
deceased,0.7307692307692307,0.76,0.7450980392156863,25.0
accuracy,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667
macro avg,0.804160125588697,0.81,0.8068924539512774,75.0
weighted avg,0.8286237571951858,0.8266666666666667,0.8274905921964745,75.0
