,precision,recall,f1-score,support
living,0.6833333333333333,0.82,0.7454545454545455,50.0
deceased,0.4,0.24,0.3,25.0
accuracy,0.6266666666666667,0.6266666666666667,0.6266666666666667,0.6266666666666667
macro avg,0.5416666666666667,0.53,0.5227272727272727,75.0
weighted avg,0.5888888888888889,0.6266666666666667,0.5969696969696969,75.0
